N,P,T,X_ZN,component,internal_dof,vertex,NP,GM,MU,X,Y,Phase,NP(FCC_A1),NP(HCP_A3),NP(LIQUID)
1.0,101325.0,570.0,0.4,ZN,0,0,0.5971105323939296,-22072.49333377474,-26514.826071975283,0.5577060515290361,0.44229394847096387,FCC_A1,,,
1.0,101325.0,570.0,0.4,ZN,0,1,0.4028894676060704,-22072.49333377474,-26514.826071975283,0.1662685377463427,0.8337314622536572,FCC_A1,,,
1.0,101325.0,570.0,0.4,ZN,0,2,,-22072.49333377474,-26514.826071975283,,,,,,
1.0,101325.0,570.0,0.4,ZN,1,0,0.5971105323939296,-22072.49333377474,-26514.826071975283,0.5577060515290361,0.5577060515290361,FCC_A1,,,
1.0,101325.0,570.0,0.4,ZN,1,1,0.4028894676060704,-22072.49333377474,-26514.826071975283,0.1662685377463427,0.1662685377463427,FCC_A1,,,
1.0,101325.0,570.0,0.4,ZN,1,2,,-22072.49333377474,-26514.826071975283,,,,,,
1.0,101325.0,580.0,0.4,AL,0,0,0.6121253992233514,-22636.381907161252,-19597.96135625685,0.4615419940482302,0.4615419940482302,FCC_A1,,,
1.0,101325.0,580.0,0.4,AL,0,1,0.3878746007766487,-22636.381907161252,-19597.96135625685,0.8185078940437355,0.8185078940437353,FCC_A1,,,
1.0,101325.0,580.0,0.4,AL,0,2,,-22636.381907161252,-19597.96135625685,,,,,,
1.0,101325.0,580.0,0.4,AL,1,0,0.6121253992233514,-22636.381907161252,-19597.96135625685,0.4615419940482302,0.5384580059517697,FCC_A1,,,
1.0,101325.0,580.0,0.4,AL,1,1,0.3878746007766487,-22636.381907161252,-19597.96135625685,0.8185078940437355,0.18149210595626467,FCC_A1,,,
1.0,101325.0,580.0,0.4,AL,1,2,,-22636.381907161252,-19597.96135625685,,,,,,
1.0,101325.0,580.0,0.4,ZN,0,0,0.6121253992233514,-22636.381907161252,-27194.01273383171,0.5384580059517697,0.4615419940482302,FCC_A1,,,
1.0,101325.0,580.0,0.4,ZN,0,1,0.3878746007766487,-22636.381907161252,-27194.01273383171,0.1814921059562647,0.8185078940437353,FCC_A1,,,
1.0,101325.0,580.0,0.4,ZN,0,2,,-22636.381907161252,-27194.01273383171,,,,,,
1.0,101325.0,580.0,0.4,ZN,1,0,0.6121253992233514,-22636.381907161252,-27194.01273383171,0.5384580059517697,0.5384580059517697,FCC_A1,,,
1.0,101325.0,580.0,0.4,ZN,1,1,0.3878746007766487,-22636.381907161252,-27194.01273383171,0.1814921059562647,0.18149210595626467,FCC_A1,,,
1.0,101325.0,580.0,0.4,ZN,1,2,,-22636.381907161252,-27194.01273383171,,,,,,
1.0,101325.0,590.0,0.4,AL,0,0,0.6324530882659182,-23206.643767986356,-20091.23274965601,0.48324218154338366,0.48324218154338366,FCC_A1,,,
1.0,101325.0,590.0,0.4,AL,0,1,0.3675469117340818,-23206.643767986356,-20091.23274965601,0.8009099804795565,0.8009099804795565,FCC_A1,,,
1.0,101325.0,590.0,0.4,AL,0,2,,-23206.643767986356,-20091.23274965601,,,,,,
1.0,101325.0,590.0,0.4,AL,1,0,0.6324530882659182,-23206.643767986356,-20091.23274965601,0.48324218154338366,0.5167578184566163,FCC_A1,,,
1.0,101325.0,590.0,0.4,AL,1,1,0.3675469117340818,-23206.643767986356,-20091.23274965601,0.8009099804795565,0.1990900195204435,FCC_A1,,,
1.0,101325.0,590.0,0.4,AL,1,2,,-23206.643767986356,-20091.23274965601,,,,,,
1.0,101325.0,590.0,0.4,ZN,0,0,0.6324530882659182,-23206.643767986356,-27879.760285330496,0.5167578184566163,0.48324218154338366,FCC_A1,,,
1.0,101325.0,590.0,0.4,ZN,0,1,0.3675469117340818,-23206.643767986356,-27879.760285330496,0.1990900195204435,0.8009099804795565,FCC_A1,,,
1.0,101325.0,590.0,0.4,ZN,0,2,,-23206.643767986356,-27879.760285330496,,,,,,
1.0,101325.0,590.0,0.4,ZN,1,0,0.6324530882659182,-23206.643767986356,-27879.760285330496,0.5167578184566163,0.5167578184566163,FCC_A1,,,
1.0,101325.0,590.0,0.4,ZN,1,1,0.3675469117340818,-23206.643767986356,-27879.760285330496,0.1990900195204435,0.1990900195204435,FCC_A1,,,
1.0,101325.0,590.0,0.4,ZN,1,2,,-23206.643767986356,-27879.760285330496,,,,,,
1.0,101325.0,600.0,0.4,AL,0,0,0.6627454419392105,-23783.260485707156,-20590.725248926123,0.5084667959343822,0.5084667959343822,FCC_A1,,,
1.0,101325.0,600.0,0.4,AL,0,1,0.3372545580607895,-23783.260485707156,-20590.725248926123,0.7798736661372904,0.7798736661372904,FCC_A1,,,
1.0,101325.0,600.0,0.4,AL,0,2,,-23783.260485707156,-20590.725248926123,,,,,,
1.0,101325.0,600.0,0.4,AL,1,0,0.6627454419392105,-23783.260485707156,-20590.725248926123,0.5084667959343822,0.49153320406561785,FCC_A1,,,
1.0,101325.0,600.0,0.4,AL,1,1,0.3372545580607895,-23783.260485707156,-20590.725248926123,0.7798736661372904,0.22012633386270963,FCC_A1,,,
1.0,101325.0,600.0,0.4,AL,1,2,,-23783.260485707156,-20590.725248926123,,,,,,
1.0,101325.0,600.0,0.4,ZN,0,0,0.6627454419392105,-23783.260485707156,-28572.06333249242,0.49153320406561785,0.5084667959343822,FCC_A1,,,
1.0,101325.0,600.0,0.4,ZN,0,1,0.3372545580607895,-23783.260485707156,-28572.06333249242,0.22012633386270963,0.7798736661372904,FCC_A1,,,
1.0,101325.0,600.0,0.4,ZN,0,2,,-23783.260485707156,-28572.06333249242,,,,,,
1.0,101325.0,600.0,0.4,ZN,1,0,0.6627454419392105,-23783.260485707156,-28572.06333249242,0.49153320406561785,0.49153320406561785,FCC_A1,,,
1.0,101325.0,600.0,0.4,ZN,1,1,0.3372545580607895,-23783.260485707156,-28572.06333249242,0.22012633386270963,0.22012633386270963,FCC_A1,,,
1.0,101325.0,600.0,0.4,ZN,1,2,,-23783.260485707156,-28572.06333249242,,,,,,
1.0,101325.0,610.0,0.4,AL,0,0,0.7167716691830354,-24366.218080660525,-21096.415186761107,0.5394902434545451,0.5394902434545451,FCC_A1,,,
1.0,101325.0,610.0,0.4,AL,0,1,0.28322833081696447,-24366.218080660525,-21096.415186761107,0.7531332655621319,0.7531332655621319,FCC_A1,,,
